模型,RMSE 最小,RMSE 中位數,RMSE 最大,MAE 最小,MAE 中位數,MAE 最大
LSTM,14.18,14.39,14.7,10.11,10.46,10.89
RF,18.53,18.92,19.28,13.34,13.71,14.04
