feature,importance
s4_ma,0.6158923749782433
s9_ma,0.09364251994764289
s11_ma,0.07850123696119907
s14_ma,0.015478289058222008
s15_ma,0.013346607916111468
s7_ma,0.010532169446441992
s21_ma,0.01013365866477878
s12_ma,0.00961033859550662
s20_ma,0.008820974320439769
s2_ma,0.007138186540827344
s3_ma,0.006863275568038422
s13_ma,0.006295471321846026
s14_sd,0.005534747088083069
s9,0.005353546745439611
s7_sd,0.004830337541268138
s8_ma,0.004826657945371454
s11_sd,0.004386144628719523
s9_sd,0.004231741583075919
s8_sd,0.004191840759221739
s13_sd,0.004185028910808213
s12_sd,0.004055207495990256
s3_sd,0.004040797966241011
s21_sd,0.00398674002039663
s4_sd,0.003895124757941111
s20_sd,0.0038906397887387414
s15_sd,0.0035843968958521196
s2_sd,0.003583593683239955
s14,0.003413669779381716
s14_sl,0.0026970552775048536
s17_ma,0.0025466272442125305
s7,0.0023627151371531387
s4,0.002348746828228255
s15,0.002330773891790775
s9_sl,0.0023109082755073977
s17_sd,0.0022518499739369742
s12,0.0022290948313101583
s4_sl,0.0022105129102707555
s3,0.002192976551475789
s12_sl,0.0021853979920342303
s15_sl,0.002159189244127219
s21,0.0021465831766509587
s2,0.0021203510772012345
s7_sl,0.002102505052256215
s21_sl,0.002016984677407487
s11_sl,0.001982192440584064
s3_sl,0.0019608415972519025
s2_sl,0.0019599266816765293
s20_sl,0.0019226343369545711
s11,0.0018896215939905804
s20,0.0018142609969976394
s13_sl,0.001732857164675035
s13,0.0015886372835389752
s8_sl,0.0015403187183024851
s8,0.0013126374275165876
s17_sl,0.000892954078138952
s17,0.000640660201310512
s6_ma,0.00010248053108038209
s6_sd,9.948550545814775e-05
s6_sl,8.926441264851191e-05
s6,1.3635979740246159e-05
